Field=#~Integer~#~50|Field=Case/Package~String~Case/Package~44|Field=Category~String~Category~74|Field=Description~String~Description~42|Field=Footprint~String~Footprint~42|Field=LibRef~String~LibRef~42|Field=Manufacturer 1~String~Manufacturer 1~42|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~42|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~42|Field=Quantity~Integer~Quantity~42|Field=Supplier 1~String~Supplier 1~42|Field=Supplier Currency 1~String~Supplier Currency 1~42|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~42|Field=Supplier Part Number 1~String~Supplier Part Number 1~42|Field=Supplier Stock 1~Integer~Supplier Stock 1~83|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~29|Field=Supplier Subtotal per Board 1~Float~Supplier Subtotal per Board 1~29|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~29|ReportField=Currency~<none>|ReportField=ProductionQuantity~1000|ReportField=ProjectFileName~Tuturial.PrjPCB|ReportField=ProjectFullPath~C:\Users\bruno\OneDrive\Documentos\GitHub\SpaceLab\Hardware\Tutorial Altium\Tuturial.PrjPCB|ReportField=Title~Bill of Materials For Variant [LED2 Not Fited] of Project [Tuturial.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~17:13:54|ReportField=ReportDate~16/04/2020|ReportField=ReportDateTime~16/04/2020 17:13:54|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~LED2 Not Fited|ReportField=TotalQuantity~3|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~485bbea4e03263e619766c4f2c8a040c535a0d90|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~16/04/2020|ReportField=CurrentTime~13:57:22|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\bruno\OneDrive\Documentos\GitHub\SpaceLab\Hardware\Tutorial Altium\LED.SchDoc|ReportField=DocumentName~LED.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~16/04/2020|ReportField=Organization~|ReportField=ProjectName~Tuturial.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Tuturial.PrjPCB|ReportField=DataSourceFullPath~C:\Users\bruno\OneDrive\Documentos\GitHub\SpaceLab\Hardware\Tutorial Altium\Tuturial.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||Connectors|Conn Wire to Board HDR 2 POS 2.54mm Solder ST Thru-Hole Bag|HDR1X2|22-29-2021|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D22-29-2021%26seller%3DNewark%26sku%3D91C4367%26country%3DBR%26channel%3DBOM%2520Report%26{URL.TEXT}Molex{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D22-29-2021%26seller%3DNewark%26sku%3D91C4367%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}22-29-2021{URL.TIP}Manufacturer|1|Newark|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D22-29-2021%26seller%3DNewark%26sku%3D91C4367%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}91C4367{URL.TIP}Supplier|0|||
2|0603|Optoelectronics|PANASONIC - LNJ626W8CRA - LED, REINGRÜN, HIGH-BRIGHTNESS, 0603|LED_LNJ626 GREEN|LNJ626W8CRA|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%2520SSG%26mpn%3DLNJ626W8CRA%26seller%3DDigi-Key%26sku%3DP13497CT-ND%26country%3DBR%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic%20SSG{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%2520SSG%26mpn%3DLNJ626W8CRA%26seller%3DDigi-Key%26sku%3DP13497CT-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}LNJ626W8CRA{URL.TIP}Manufacturer|1|Digi-Key|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%2520SSG%26mpn%3DLNJ626W8CRA%26seller%3DDigi-Key%26sku%3DP13497CT-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P13497CT-ND{URL.TIP}Supplier|0|||
3|0805|Resistors|RES SMD 3.6 OHM 1% 1/8W 0805|R_CRCW0805|CRCW08053R60FNEA|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW08053R60FNEA%26seller%3DDigi-Key%26sku%3D541-3.60CCT-ND%26country%3DBR%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Dale{URL.TIP}Component|Not Recommended for New Design|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW08053R60FNEA%26seller%3DDigi-Key%26sku%3D541-3.60CCT-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW08053R60FNEA{URL.TIP}Manufacturer|1|Digi-Key|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW08053R60FNEA%26seller%3DDigi-Key%26sku%3D541-3.60CCT-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-3.60CCT-ND{URL.TIP}Supplier|0|||
